ID,Path,Title,StoryURL,Author,AuthorURL,Series,SeriesURL,Category,Genre,Characters,Relationships,Language,LanguageID,Status,Published,Updated,Rating,Warnings,Chapters,Words,Publisher,Summary
36275671,/archiveofourown/LostatSeaVolksParadox/36275671_TornLight.epub,Torn Light,https://archiveofourown.org/works/36275671,Lost at Sea (VolksParadox),https://archiveofourown.org/users/VolksParadox/pseuds/Lost%20at%20Sea,Tales [5],https://archiveofourown.org/series/2083143,Frozen (Disney Movies),"Angst, Descent into Madness, Elsanna Shenanigans Discord Monthly Contest (Disney), F/F, Femslash, Implied/Referenced Incest, Major character death - Freeform, Medieval AU, Melancholy, Melancholy overdose, References to Macbeth, Tragedy","Anna (Disney), Elsa (Disney), Gerda (Disney: Frozen), Hans (Disney)",Anna/Elsa (Disney),English,en,Completed,2022-01-07,2022-01-10,Mature,"Graphic Depictions Of Violence, Major Character Death",3,8031,archiveofourown.org,"Under the weight of the past, Queen Elsa longs for a time long gone, as her sanity slowly crumbles - as well as her reign. A grey tale."
32671549,/archiveofourown/LostatSeaVolksParadox/32671549_Traum.epub,Traum,https://archiveofourown.org/works/32671549,Lost at Sea (VolksParadox),https://archiveofourown.org/users/VolksParadox/pseuds/Lost%20at%20Sea,Tales [3],https://archiveofourown.org/series/2083143,Frozen (Disney Movies),"Berlin Roaring 20's AU, Dancing, Elsanna - Freeform, F/F, Shy Elsa, Some German thrown in there, Suggestive Themes","Anna (Disney), Elsa (Disney)",Anna/Elsa (Disney),English,en,In-Progress,2021-07-18,2021-07-19,Mature,No Archive Warnings Apply,1,726,archiveofourown.org,A burning night is all it takes for Elsa to began a slow descent into the depths of Berlin's underground night-life. Inspired by Babylon Berlin (with some Steppenwolf references later one). A golden tale.
55355314,/archiveofourown/lostandtired/55355314_IsWantingEnough.epub,Is Wanting Enough?,https://archiveofourown.org/works/55355314,lostandtired,https://archiveofourown.org/users/lostandtired/pseuds/lostandtired,,,Frozen (Disney Movies),"Alternate Universe - College/University, Alternate Universe - Modern Setting, Angst, Cheating, Discord: Elsanna Shenanigans (Disney), F/F, Modern AU, Toxic Relationship, Unrelated Anna/Elsa (Disney)","Anna (Disney), Belle (Disney), Elsa (Disney), Eugene Fitzherbert | Flynn Rider, Megara (Disney), Merida (Disney)","Anna & Elsa (Disney), Anna/Elsa (Disney), Belle/Elsa (Disney)",English,en,In-Progress,2024-04-21,2024-06-27,Mature,No Archive Warnings Apply,2,6427,archiveofourown.org,"This is a story spanning Elsa’s last year of University, she’s doing her best to keep her life from falling apart but it feels like a losing battle. When her relationship with Belle is on the verge of collapse, Elsa isn’t sure she has the strength to live without her. But perhaps there’s someone out there to guide Elsa through this time, someone who can show her what it truly means to love a person.(Please be warned that there are some very shitty people in this story)"
4531779,/archiveofourown/lovely_bloodcry/4531779_BlindLove.epub,Blind Love,https://archiveofourown.org/works/4531779,lovely_bloodcry,https://archiveofourown.org/users/lovely_bloodcry/pseuds/lovely_bloodcry,,,Frozen (2013),F/F,"Anna (Frozen), Elsa (Frozen), Hans (Frozen), Kristoff (Frozen), Olaf (Frozen)",Anna/Elsa (Frozen),English,en,In-Progress,2015-08-09,2015-08-09,Mature,No Archive Warnings Apply,3,8164,archiveofourown.org,A blind elsa and her wolf olaf meets Anna and her wolf kristoff after she falls one day while out walking. Neither can explain it but they soon fall in love. Anna doesn't know why but elsa is just her reason to stay.
38891817,/archiveofourown/lovertrack13/38891817_PsSintomuitopelaslágrimasnopapel.epub,Ps. Sinto muito pelas lágrimas no papel.,https://archiveofourown.org/works/38891817,lovertrack13,https://archiveofourown.org/users/lovertrack13/pseuds/lovertrack13,,,Frozen (Disney Movies),"Alternate Universe - Modern Setting, Alternate Universe - Not Related, Angst, F/F, Implied/Referenced Suicide","Anna (Disney), Elsa (Disney)",Anna/Elsa (Disney),Português brasileiro,pt-BR,Completed,2022-05-09,2022-05-09,Teen And Up Audiences,Major Character Death,1,510,archiveofourown.org,"""Espero que minha passagem tenha lhe oferecido boas memórias e que você guarde algum pedaço de mim, meu único amor."""
38749122,/archiveofourown/Lovethyenemy/38749122_YoureWhatIKnowAboutLove.epub,You’re What I Know About Love,https://archiveofourown.org/works/38749122,Lovethyenemy,https://archiveofourown.org/users/Lovethyenemy/pseuds/Lovethyenemy,,,"Frozen (Disney Movies), Frozen - Anderson-Lopez & Lopez/Lee","F/F, F/M, Is Anna autistic in this? Maybe, Kristoff is a Good Husband, Multi, Pre-Poly, first fic in this fandom, just some thoughts, possible pre-Elsa/Anna/Kristoff vibes if you squint, short and meandering, supportive Kristoff",,"Anna/Elsa (Disney), Anna/Kristoff (Disney), Elsa & Kristoff (Disney)",English,en,Completed,2022-05-02,2022-05-02,Teen And Up Audiences,No Archive Warnings Apply,1,826,archiveofourown.org,"Kristoff muses about his wife’s relationship to her sister, and what he knows about love."
53661871,/archiveofourown/Love_Kms_Girls/53661871_Frozenrewriteasyurimovie.epub,"Frozen, rewrite as yuri movie",https://archiveofourown.org/works/53661871,Love_Kms_Girls,https://archiveofourown.org/users/Love_Kms_Girls/pseuds/Love_Kms_Girls,,,Frozen (Disney Movies),"Canon Compliant, F/F, Inappropriate Use of Ice Magic, Rewrite","Anna (Disney), Duke of Weselton (Disney), Elsa (Disney), Trolls (Disney: Frozen)","Anna & Elsa (Disney), Anna/Elsa (Disney)",English,en,Completed,2024-02-10,2024-02-10,Mature,"Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence",1,3793,archiveofourown.org,"I've always find interesting the theory of Frozen beign originaly a lesbian movie with Elsa and Anna as main couple. So I decided to write a fanfic on that, i followed the actual movie event, just changing parts, and turns out it work well. Enjoy."
32670292,/archiveofourown/Love_Lili/32670292_AftertheBallSmallTalkAIgenerated.epub,After the Ball Small Talk [AI-generated],https://archiveofourown.org/works/32670292,Love_Lili,https://archiveofourown.org/users/Love_Lili/pseuds/Love_Lili,,,Frozen (Disney Movies),"AI generated, F/F, Random - Freeform, Smut, gpt-3 - Freeform","Anna (Disney), Elsa (Disney)",Anna/Elsa (Disney),English,en,Completed,2021-07-18,2021-07-18,Explicit,Creator Chose Not To Use Archive Warnings,1,1207,archiveofourown.org,"Elsa has a surprise for Anna after the spring ball!Second attempt with gpt-3, except that this time I made it write naughty stuff"
31465145,/archiveofourown/Love_Lili/31465145_ThefightforKristoffAIgenerated.epub,The fight for Kristoff [AI-generated],https://archiveofourown.org/works/31465145,Love_Lili,https://archiveofourown.org/users/Love_Lili/pseuds/Love_Lili,,,Frozen (Disney Movies),"AI generated, Experimental, Multi, Random - Freeform, gpt-3 - Freeform","Anna (Disney), Elsa (Disney), Kristoff (Disney)","Anna/Elsa (Disney), Anna/Kristoff (Disney), Elsa/Kristoff (Disney)",English,en,Completed,2021-05-23,2021-05-23,General Audiences,Creator Chose Not To Use Archive Warnings,1,826,archiveofourown.org,I got access to GPT-3 and decided to try getting a fanfic out of it. It sort of worked???
13938090,/archiveofourown/luckysnowflake/13938090_BreakingTheIceWalls.epub,Breaking The Ice Walls,https://archiveofourown.org/works/13938090,luckysnowflake,https://archiveofourown.org/users/luckysnowflake/pseuds/luckysnowflake,,,Frozen (2013),F/F,Elsa Anna Kristoff Hans,Anna/Elsa (Disney),English,en,Completed,2018-03-11,2018-03-23,Mature,No Archive Warnings Apply,13,24156,archiveofourown.org,"Dr. Elsa Winter is an accomplished child psychologist, although her dark past prevents her from opening up to others. Anna Johnson is a social worker with a kind heart and warm personality. When the two women are forced together at a professional conference Elsa finds her carefully constructed walls breaking down."
